phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,0,16.6655,16.6707,1.9937,10310,567,816804281329,2.3118,0.9637,14.3442,16741600,85000,247400,0,1500,0
walking,0,16.6675,16.6641,2.5088,10310,566,816804448036,2.4008,0.9532,14.2492,16889800,77400,232300,0,1400,0
walking,0,16.6663,16.6689,2.0511,10310,566,816804614677,1.8611,1.2761,14.7922,16348200,77600,221500,0,1500,0
walking,0,16.6688,16.7553,1.9937,16702,566,816804781366,2.4840,1.2282,14.2577,17211400,71400,552600,0,1500,0
walking,0,16.6674,16.9050,2.4453,19102,565,816804948919,2.2687,0.7801,14.6214,16345000,75400,248800,0,1500,0
walking,0,16.6662,16.3614,2.0029,10310,562,816805117969,1.8295,1.4526,14.5187,16378800,77700,257000,0,1400,0
walking,0,16.6660,17.2255,1.9845,10310,567,816805281583,2.4908,0.8711,14.7210,16647700,83100,300200,0,1300,0
walking,0,16.6674,16.3604,2.0552,10310,565,816805453838,2.8585,1.0159,13.4867,17062800,82300,271500,0,1400,0
walking,0,16.6661,16.3941,1.9026,16702,561,816805617442,1.9915,0.8348,14.3873,16457600,72700,456000,0,1300,0
walking,0,16.6690,16.6643,1.9139,10310,561,816805781383,2.1031,1.2341,14.5447,18181100,76700,317200,0,1200,0
walking,0,16.6657,17.0778,1.9395,10310,556,816805948026,2.5768,0.9316,14.4861,15448800,78300,242800,0,1400,0
walking,0,16.6666,16.4712,2.4392,10310,549,816806118804,2.1296,0.8208,14.3281,16593800,80200,251300,0,1500,0
walking,0,16.7318,18.1979,2.3153,10310,549,816806283516,3.8161,1.3218,14.3653,16416100,76000,231900,0,1400,0
walking,0,16.6667,15.4639,2.2159,16702,543,816806465495,2.9824,0.9062,12.4668,16493500,75400,594100,0,1400,0
walking,0,16.6670,16.6093,1.9640,10310,542,816806620134,2.5669,1.1742,14.0271,16636400,86600,252100,0,1400,0
walking,0,16.6676,16.4329,2.8897,10310,544,816806786227,2.2022,1.5453,14.2142,16637700,100500,262200,0,1400,0
walking,0,16.8443,16.5102,2.0244,10310,544,816806950556,2.2697,2.1279,14.2240,23933700,85600,262100,0,1600,0
walking,0,16.4922,16.6526,2.9665,10310,544,816807115658,1.9592,0.7963,14.6775,9695400,119100,290800,0,1700,0
walking,0,16.6694,16.6552,2.3214,16702,542,816807282184,2.0650,1.0018,14.5728,16564500,87100,600800,0,1700,0
walking,0,16.6668,23.9560,2.0265,10310,542,816807448736,9.4855,1.3189,14.4487,16943200,85100,343300,0,1300,0
walking,0,16.6629,9.7137,2.2764,10310,538,816807688296,2.7639,1.0618,6.9316,16303300,96500,230700,0,1400,0
walking,0,16.6675,16.5814,3.2154,10310,535,816807785433,2.5788,0.8571,13.9859,16696000,75100,222000,0,1100,0
walking,0,16.7339,16.9610,3.2205,10310,531,816807951247,2.8946,0.8849,14.0489,16848700,78000,224900,0,1400,0
walking,0,16.6663,16.3167,2.3654,16702,535,816808120857,2.1519,0.8664,14.1516,16451100,67300,509600,0,1100,0
