phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,0,16.6641,16.6643,1.9722,10310,535,814413961798,3.0023,1.3155,13.6416,16634600,99000,383000,0,1900,0
walking,0,16.6687,16.6702,2.0726,16702,534,814414128441,2.3009,1.3365,14.3522,16654000,91100,571600,0,1400,0
walking,0,16.6650,16.6769,1.9896,10310,535,814414295143,2.2943,1.2879,14.3634,16643300,92400,331700,0,1500,0
walking,0,16.6666,16.6519,2.6296,10310,535,814414461912,2.7022,1.0460,13.9327,16647400,89500,242900,0,2200,0
walking,0,16.6677,16.6716,1.8995,10310,535,814414628431,2.4271,1.5907,14.2273,16652200,90000,309500,0,1500,0
walking,0,16.6706,16.6629,1.9599,10310,535,814414795147,2.6784,0.9681,13.9650,16648800,107100,304300,0,1900,0
walking,0,16.6630,16.6639,1.9661,16702,503,814414961776,2.9552,1.4466,13.6924,16646100,90900,614800,0,1600,0
walking,0,16.6676,16.6732,2.4402,10310,503,814415128415,2.2559,1.0519,14.3966,16645600,113400,282900,0,2300,0
walking,0,16.6687,16.6670,2.2170,10310,503,814415295147,2.5390,1.5909,14.1099,16654300,89700,255400,0,1700,0
walking,0,16.6754,16.6661,1.9876,10310,501,814415461817,2.5365,1.4240,14.1097,16664300,100900,340200,0,1400,0
walking,0,16.6585,16.6629,1.9988,10310,501,814415628478,2.9051,0.8895,13.7407,16626700,154000,312600,0,2500,0
walking,0,16.6659,16.6727,1.9180,16702,503,814415795107,2.6738,1.0711,13.9806,16642800,106100,748500,0,1800,0
walking,0,16.7411,16.6894,1.9210,10310,496,814415961834,2.6510,1.3980,14.0136,16727500,96100,287700,0,1700,0
walking,0,16.6625,16.6486,2.2897,10310,503,814416128728,3.0510,1.2386,13.5758,16630200,102700,277500,0,2100,0
walking,0,16.6664,16.6625,1.9712,10310,501,814416295214,2.8798,1.0043,13.7631,16647500,109900,285000,0,1700,0
walking,0,16.6673,16.7511,1.9313,10310,501,814416461839,2.8162,1.0125,13.9114,16651500,91000,244100,0,1500,0
walking,0,16.6668,16.6497,1.9139,16702,503,814416629350,2.5159,1.0338,14.1146,16647900,91800,557800,0,1700,0
walking,0,16.6690,16.6645,2.0173,10310,499,814416795847,2.3886,1.0060,14.2591,16656900,86900,683500,0,1600,0
walking,0,16.6666,16.6677,2.2753,10310,497,814416962492,2.4060,0.9738,14.2455,16648300,107100,319700,0,1500,0
walking,0,16.6742,16.6646,1.8821,10310,498,814417129169,2.3845,1.0555,14.2635,16661000,102200,302000,0,1700,0
walking,0,16.6621,16.6749,2.2057,10310,497,814417295815,3.0252,1.5904,13.6320,16624900,114900,284300,0,2900,0
walking,0,16.6650,16.6692,1.9354,16626,498,814417462564,2.4072,1.0263,14.2414,16639900,97800,633100,0,1700,0
walking,0,16.6665,16.6882,1.9180,10234,498,814417629256,2.5672,1.6393,14.0939,16648700,89300,316600,0,2000,0
walking,0,16.6655,16.6496,2.2036,10234,498,814417796138,2.7866,1.6195,13.8385,16648600,81600,392100,0,1600,0
walking,0,16.6663,16.6578,1.9016,10234,498,814417962634,2.8397,1.0173,13.8004,16647900,94200,461900,0,1800,0
walking,0,16.6678,16.6667,1.9579,10234,489,814418129212,2.6689,1.5692,13.9800,16651000,79900,284700,0,1900,0
walking,0,16.6716,16.6649,1.9630,16626,490,814418295879,2.3760,1.6721,14.2727,16654000,80700,492700,0,1200,0
walking,0,16.6645,16.6658,1.8790,10234,490,814418462528,2.9867,1.4232,13.6615,16645700,88300,373500,0,1700,0
walking,0,16.6688,16.6722,2.1996,10234,491,814418629186,2.7495,1.4882,13.9016,16648500,98000,288200,0,1800,0
walking,0,16.6678,16.6719,1.9190,10234,491,814418795908,2.5311,1.2654,14.1231,16648000,100400,559700,0,1700,0
walking,0,16.6650,16.6659,2.2385,10234,490,814418962627,2.8712,1.5547,13.7747,16643100,97800,362100,0,2100,0
walking,0,16.6679,16.6681,1.8555,16650,489,814419129286,2.7212,1.2621,13.9276,16649200,93100,602300,0,1800,0
walking,0,16.6665,16.6691,1.8473,10234,481,814419295967,3.3992,1.6722,13.2491,16644100,91100,375600,0,1600,0
walking,0,16.6642,16.6636,2.2170,10234,472,814419462658,2.9427,1.3326,13.7006,16642800,83800,335700,0,1700,0
walking,0,16.6676,16.6696,1.8729,10234,473,814419629294,2.7888,1.0355,13.8606,16651100,79200,330000,0,1600,0
walking,0,16.6672,16.6638,1.8360,10234,473,814419795990,2.9854,1.5614,13.6589,16650400,80700,254400,0,1900,0
walking,0,16.6684,16.6587,1.8647,16626,473,814419962628,2.5810,1.0548,14.0620,16653900,79400,778500,0,2100,0
walking,0,16.6691,16.6687,1.8708,10282,473,814420129215,2.4431,0.8947,14.2082,16653200,100600,306800,0,1500,0
walking,0,16.6633,16.6666,2.2221,10234,337,814420295902,2.7723,1.2384,13.8782,16636300,99900,386300,0,1500,0
walking,0,16.6684,16.6720,2.0818,10234,348,814420462568,2.8171,1.5356,13.8369,16652000,86500,287200,0,1400,0
walking,0,16.6650,16.6736,2.3685,10234,343,814420629288,2.8686,1.1255,13.7850,16646500,95800,266200,0,2000,0
walking,0,16.6713,16.6564,2.1228,16626,339,814420796024,3.2346,1.1622,13.4018,16658300,83200,837900,0,1300,0
walking,0,16.6666,16.6687,2.1064,10234,334,814420962588,2.7576,1.0818,13.8945,16646800,95900,293900,0,1400,0
walking,0,16.6654,16.6634,2.3869,22218,333,814421129275,2.3535,1.2422,14.2931,16640900,91900,429500,0,2100,0
walking,0,16.6663,16.6771,1.9988,10234,309,814421295909,2.8516,1.2112,13.8067,16646900,86100,447900,0,1500,0
walking,0,16.6690,16.6671,2.3562,10234,309,814421462680,2.3026,1.6778,14.3443,16649200,119300,371100,0,1700,0
walking,0,16.6644,16.6621,2.3183,16626,310,814421629351,3.1025,1.0556,13.5386,16638900,103400,888300,0,1700,0
walking,0,16.6670,16.6701,1.9988,10234,310,814421795972,2.2845,1.3300,14.3628,16650900,83000,357000,0,1500,0
walking,0,16.6704,16.6706,2.3214,10234,309,814421962673,2.2788,1.7241,14.3708,16655800,85500,263400,0,1500,0
walking,0,16.6662,16.6567,2.0511,10234,306,814422129379,2.4499,1.0145,14.1892,16645100,90000,368100,0,1600,0
walking,0,16.6662,16.6672,2.1258,10234,307,814422295946,2.7380,1.1042,13.9130,16647800,98700,302700,0,1500,0
walking,0,16.6678,16.6738,2.1176,16626,307,814422462618,2.2259,1.5566,14.4302,16651100,85500,741700,0,1500,0
walking,0,16.6658,16.6658,2.2129,10234,307,814422629356,2.2735,1.4768,14.3718,16630800,119200,354700,0,2100,0
walking,0,17.0236,16.6669,2.3296,20590,302,814422796014,2.4902,1.6930,14.1578,17015000,98800,267800,0,1700,0
