phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls
walking,0,1.4027,1.7571,0.0000,36,84
walking,0,2.2186,3.3240,0.0000,36,84
walking,0,2.6003,1.9871,0.0000,36,84
walking,0,1.7605,1.4036,0.0000,36,84
walking,0,1.4725,2.2172,0.0000,36,84
walking,0,1.7948,2.6028,0.0000,36,84
walking,0,1.6685,1.7606,0.0000,36,84
walking,0,1.9385,1.4702,0.0000,36,84
walking,0,1.7430,1.7954,0.0000,36,84
walking,0,2.0560,1.6699,0.0000,36,84
walking,0,1.7798,1.9363,0.0000,36,84
walking,0,2.1591,1.7432,0.0000,36,84
walking,0,1.8830,2.0567,0.0000,36,84
walking,0,1.3117,1.7803,0.0000,36,84
walking,0,1.8110,2.1586,0.0000,36,84
walking,0,9.5779,1.8807,0.0000,36,84
walking,0,2.7739,1.3111,0.0000,36,83
walking,0,1.9019,1.8124,0.0000,36,84
walking,0,1.4578,9.5821,0.0000,36,84
walking,0,1.7591,2.7715,0.0000,36,84
walking,0,2.2959,1.9015,0.0000,36,84
walking,0,1.6250,1.4570,0.0000,36,84
walking,0,1.7886,1.7583,0.0000,36,84
walking,0,3.9888,2.2970,0.0000,276,82
walking,0,2.0469,1.6244,0.0000,112,82
walking,0,2.2549,1.7889,0.0000,112,82
walking,0,1.5226,3.9920,0.0000,112,82
walking,0,2.2896,2.0442,0.0000,112,82
walking,0,2.2251,2.2550,0.0000,112,82
walking,0,2.1732,1.5225,0.0000,112,82
walking,0,1.7988,2.2882,0.0000,112,82
walking,0,1.2580,2.2260,0.0000,112,82
walking,0,1.4387,2.1747,0.0000,112,82
walking,0,1.8387,1.7979,0.0000,112,82
walking,0,1.6330,1.2572,0.0000,112,82
walking,0,1.5487,1.4404,0.0000,112,80
walking,0,1.5842,1.8380,0.0000,112,79
walking,0,2.2036,1.6344,0.0000,112,80
walking,0,2.2677,1.5542,0.0000,112,80
walking,0,2.1532,1.5767,0.0000,112,80
walking,0,1.9243,2.2026,0.0000,112,80
walking,0,1.3788,2.2670,0.0000,112,80
walking,0,2.1056,2.1530,0.0000,112,80
walking,0,1.8680,1.9256,0.0000,112,80
walking,0,1.2227,1.3788,0.0000,112,80
walking,0,1.6528,2.1066,0.0000,112,80
walking,0,2.1017,1.8671,0.0000,112,80
walking,0,1.7520,1.2222,0.0000,112,80
walking,0,1.6155,1.6534,0.0000,112,80
walking,0,2.3808,2.1015,0.0000,112,80
walking,0,2.6470,1.7510,0.0000,112,80
walking,0,1.5500,1.6147,0.0000,112,80
walking,0,1.4668,2.3826,0.0000,112,80
walking,0,1.5528,2.6478,0.0000,112,80
walking,0,1.4471,1.5491,0.0000,112,80
walking,0,2.2278,1.4669,0.0000,112,80
walking,0,2.4247,1.5519,0.0000,112,80
walking,0,1.4156,1.4488,0.0000,112,80
walking,0,1.7728,2.2264,0.0000,112,80
walking,0,1.6356,2.4299,0.0000,112,80
walking,0,1.9584,1.4120,0.0000,112,79
walking,0,1.8108,1.7724,0.0000,112,80
walking,0,1.7925,1.6345,0.0000,112,80
walking,0,1.5509,1.9613,0.0000,112,80
walking,0,1.5981,1.8072,0.0000,112,80
walking,0,1.6943,1.7943,0.0000,112,80
walking,0,1.6594,1.5507,0.0000,112,79
walking,0,1.6515,1.5983,0.0000,112,80
walking,0,2.6076,1.6938,0.0000,112,80
walking,0,1.6496,1.6598,0.0000,112,80
walking,0,1.4573,1.6509,0.0000,112,80
walking,0,1.5390,2.6081,0.0000,112,80
walking,0,1.6569,1.6478,0.0000,112,80
walking,0,2.0229,1.4592,0.0000,112,79
walking,0,1.5895,1.5381,0.0000,112,80
walking,0,1.7403,1.6564,0.0000,112,80
walking,0,2.1908,2.0231,0.0000,112,79
walking,0,1.7523,1.5912,0.0000,112,80
walking,0,1.9384,1.7399,0.0000,112,80
walking,0,1.6429,2.1913,0.0000,112,80
walking,0,2.1330,1.7503,0.0000,112,80
walking,0,1.7193,1.9396,0.0000,112,80
walking,0,1.4966,1.6431,0.0000,112,80
walking,0,1.5593,2.1324,0.0000,112,80
walking,0,1.8967,1.7188,0.0000,112,80
walking,0,2.0045,1.4967,0.0000,112,80
walking,0,1.5453,1.5580,0.0000,112,80
walking,0,1.6394,1.8996,0.0000,112,79
walking,0,1.6074,2.0038,0.0000,112,80
walking,0,1.4451,1.5439,0.0000,112,79
walking,0,1.5847,1.6402,0.0000,112,80
walking,0,1.8587,1.6061,0.0000,112,80
walking,0,2.1641,1.4458,0.0000,112,80
walking,0,1.6056,1.5855,0.0000,112,80
walking,0,2.2071,1.8589,0.0000,112,80
walking,0,2.5023,2.1646,0.0000,112,80
walking,0,1.1435,1.6041,0.0000,112,80
walking,0,1.7822,2.2067,0.0000,112,80
walking,0,1.3693,2.5025,0.0000,112,80
walking,0,1.8117,1.1424,0.0000,112,80
walking,0,1.6446,1.7822,0.0000,112,80
walking,0,1.3471,1.3707,0.0000,112,80
walking,0,1.4179,1.8122,0.0000,112,80
walking,0,1.8144,1.6448,0.0000,112,80
walking,0,1.8959,1.3602,0.0000,112,80
walking,0,1.4781,1.4026,0.0000,112,80
walking,0,10.0058,1.8155,0.0000,112,80
walking,0,2.4576,1.8973,0.0000,112,80
walking,0,1.4203,1.4767,0.0000,112,80
walking,0,2.1024,10.0133,0.0000,112,80
walking,0,1.5625,2.4539,0.0000,112,80
walking,0,1.7046,1.4176,0.0000,112,80
walking,0,1.6918,2.1034,0.0000,112,80
walking,0,1.8289,1.5603,0.0000,112,80
walking,0,1.6432,1.7064,0.0000,112,80
walking,0,2.1308,1.6908,0.0000,112,80
walking,0,1.6526,1.8287,0.0000,112,80
walking,0,1.9719,1.6429,0.0000,112,80
walking,0,1.5366,2.1320,0.0000,112,80
walking,0,1.5320,1.6525,0.0000,112,80
walking,0,1.6407,1.9715,0.0000,112,79
walking,0,2.2761,1.5360,0.0000,112,80
walking,0,1.5187,1.5330,0.0000,112,80
walking,0,1.8660,1.6394,0.0000,112,80
walking,0,1.5320,2.2818,0.0000,112,80
walking,0,1.6535,1.5127,0.0000,112,80
walking,0,1.4530,1.8682,0.0000,112,79
walking,0,1.7140,1.5315,0.0000,112,80
walking,0,1.8144,1.6525,0.0000,112,80
walking,0,2.1484,1.4539,0.0000,112,80
walking,0,1.8787,1.7273,0.0000,112,80
walking,0,1.3699,1.8014,0.0000,112,79
walking,0,1.9839,2.1659,0.0000,112,80
walking,0,1.4904,1.8607,0.0000,112,80
walking,0,1.9406,1.3698,0.0000,112,80
