phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,0,16.6660,16.6698,1.9763,10310,583,818148962984,1.9458,1.1026,14.7105,16651400,89000,250800,0,1400,0
walking,0,16.6680,16.6753,2.3347,10310,581,818149129682,2.2049,1.0793,14.4557,16655500,84400,290700,0,1200,0
walking,0,16.7412,16.6604,1.9476,10310,572,818149296435,2.6650,0.8808,13.9809,16727700,80400,313500,0,1200,0
walking,0,16.6656,16.6635,2.0132,10310,571,818149463039,2.3455,1.4909,14.3059,16654100,73900,253800,0,1000,0
walking,0,16.6669,16.6689,2.3276,16702,573,818149629674,2.2569,1.0436,14.3986,16652900,81600,648600,0,1200,0
walking,0,16.6670,16.7399,2.0285,10310,573,818149796363,2.1597,0.8949,14.5681,16653900,84000,295700,0,1200,0
walking,0,16.6668,16.6689,2.3409,10310,569,818149963762,1.8602,0.9397,14.7940,16653600,77500,231700,0,1100,0
walking,0,16.6670,16.6657,2.0275,10310,567,818150130451,2.3332,1.0158,14.3196,16654100,80900,213800,0,1100,0
walking,0,16.6708,16.6671,1.9948,10310,565,818150297108,2.2155,0.7535,14.4384,16661600,131200,236800,0,2200,0
walking,0,16.6637,16.6660,2.3194,16702,566,818150463779,2.4180,0.7791,14.2357,16640600,92900,545200,0,1200,0
walking,0,16.6653,16.6671,1.9630,10310,565,818150630439,1.8716,1.3124,14.7825,16648700,84500,292800,0,1400,0
walking,0,16.6673,16.6817,2.2723,10310,567,818150797110,2.6299,1.0975,14.0319,16655100,86600,224800,0,1200,0
walking,0,16.6687,16.6555,1.9917,10310,567,818150963927,2.7256,1.0312,13.9151,16656900,82600,251700,0,1400,0
walking,0,16.6665,16.6624,1.9661,10310,560,818151130482,2.2113,1.0303,14.4374,16653200,98500,250700,0,1500,0
walking,0,16.6667,16.6674,2.2221,16702,561,818151297106,1.9164,0.8713,14.7387,16653400,104400,483000,0,1000,0
walking,0,16.6666,16.6709,1.8842,10310,559,818151463780,1.8885,1.0118,14.7685,16654300,93800,242700,0,1400,0
walking,0,16.7637,16.6662,2.3101,10310,551,818151630489,2.2836,0.8791,14.3698,16755400,90500,224700,0,1200,0
walking,0,16.7241,16.6661,1.9579,10310,545,818151797151,2.2703,0.9384,14.3832,16705700,77800,241400,0,1300,0
walking,0,16.6556,16.6673,1.9804,10310,544,818151963812,2.4134,0.7839,14.2411,16627900,78400,222500,0,1400,0
walking,0,16.6676,16.7770,2.2200,16702,543,818152130485,1.9705,0.7971,14.7851,16654400,86100,469500,0,1500,0
walking,0,16.6683,16.7242,1.9476,10310,544,818152298255,1.8917,0.8539,14.8142,16654300,83300,233200,0,1500,0
walking,0,16.6871,16.6439,2.2548,10310,540,818152465497,2.2345,0.9110,14.3934,16668600,88700,458600,0,2100,0
walking,0,16.6615,16.6699,1.9220,10310,542,818152631936,2.2627,1.0560,14.3920,16638600,83700,249700,0,1500,0
walking,0,16.6665,16.6707,1.9507,10310,544,818152798635,2.0388,1.3234,14.6156,16647300,87000,311800,0,1300,0
walking,0,16.6635,16.6859,2.3593,16702,543,818152965342,2.3691,0.9583,14.2996,16646000,77600,675500,0,1300,0
walking,0,16.6673,16.6574,1.9896,10310,541,818153132201,2.0474,0.9899,14.5914,16659400,75200,204100,0,1200,0
walking,0,16.6685,16.6627,2.2979,10310,537,818153298775,2.0676,1.1199,14.5798,16660600,66300,244600,0,800,0
walking,0,16.6666,16.6586,2.0429,10310,537,818153465402,2.1551,0.7923,14.4909,16679000,71600,265900,0,1200,0
walking,0,16.6750,16.6691,2.1340,10310,535,818153631988,1.8004,1.2429,14.8591,16631600,73400,195600,0,1100,0
walking,0,16.6599,16.6719,2.1238,16702,534,818153798679,1.7484,1.3127,14.9122,16641400,85900,459800,0,1300,0
walking,0,16.6701,16.7006,2.0634,10310,533,818153965398,1.8661,0.9842,14.8129,16657500,74300,233700,0,1000,0
walking,0,16.6644,16.6456,2.4269,10310,534,818154132404,2.2564,0.8417,14.3754,16646600,82600,311300,0,1100,0
walking,0,16.6659,16.6557,2.0992,10310,535,818154298860,2.0776,0.8557,14.5638,16652600,80500,321900,0,1100,0
walking,0,16.6702,16.6743,2.4648,10310,535,818154465417,2.1608,1.4759,14.4970,16659900,80400,234100,0,1100,0
walking,0,16.6633,16.6605,2.0644,16702,533,818154632160,2.0793,1.0330,14.5674,16640900,82600,548200,0,1500,0
walking,0,16.6659,16.6651,2.0531,10310,534,818154798765,2.1982,0.8010,14.4544,16652900,77700,253400,0,1300,0
walking,0,16.6670,16.6743,2.4044,10310,534,818154965416,2.1622,1.1435,14.4979,16652700,72400,276600,0,1000,0
walking,0,16.6695,16.6578,2.1811,10310,503,818155132159,2.5784,0.8358,14.0626,16662400,74700,220000,0,1000,0
walking,0,16.6699,16.6668,2.1115,10310,503,818155298737,1.9937,0.8987,14.6594,16657700,81200,291500,0,1300,0
walking,0,16.6638,16.6643,2.3429,16702,503,818155465405,1.8609,0.8365,14.7918,16643300,87700,2524700,1074100,1700,0
walking,0,16.7044,16.6757,2.1903,10310,503,818155632048,1.8403,0.8022,14.8223,16686200,83700,228700,0,1500,0
walking,0,16.6668,16.6753,2.4883,10310,502,818155798805,2.0102,1.8481,14.6477,16651100,80400,235600,0,1200,0
walking,0,16.6717,16.6610,2.1350,10310,503,818155965558,3.9100,0.8494,12.7334,16660900,76000,232600,0,1200,0
